frame_index,time_s,x_min,y_min,x_max,y_max,x_center,y_center,dy_px
410,6.83205368289638,182,1249,455,1339,318.5,1294.0,789.5
411,6.8487172284644195,184,1182,444,1273,314.0,1227.5,723.0
412,6.8653807740324595,180,1112,440,1201,310.0,1156.5,652.0
413,6.8820443196004994,185,1026,434,1123,309.5,1074.5,570.0
414,6.898707865168539,190,940,429,1039,309.5,989.5,485.0
415,6.915371410736579,185,846,424,948,304.5,897.0,392.5
416,6.932034956304619,177,756,421,855,299.0,805.5,301.0
417,6.948698501872659,175,677,422,768,298.5,722.5,218.0
418,6.965362047440699,161,601,424,694,292.5,647.5,143.0
419,6.982025593008739,152,550,426,631,289.0,590.5,86.0
420,6.998689138576779,145,506,435,586,290.0,546.0,41.5
421,7.015352684144819,139,487,436,558,287.5,522.5,18.0
422,7.032016229712859,138,479,436,550,287.0,514.5,10.0
423,7.048679775280899,139,484,436,556,287.5,520.0,15.5
424,7.065343320848939,144,500,435,575,289.5,537.5,33.0
425,7.082006866416979,148,520,434,606,291.0,563.0,58.5
426,7.098670411985019,153,562,430,648,291.5,605.0,100.5
427,7.115333957553059,162,601,425,706,293.5,653.5,149.0
428,7.131997503121099,171,672,429,781,300.0,726.5,222.0
